File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 5208356 (98.52%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 77982 (1.48%), 5208356 (98.52%), 5286338
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,inf,-nan,0.000000,-nan,0.000000,5286338.194000
grad_param_comm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,inf,-nan,0.000000,-nan,0.000000,5286338.194000
grad_param_compute,test1,0.001000,0.001000,34021.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
layernorm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,372051.712000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,372051.712000,0.039782,0.077078,5286338.194000
embedding_grads,test1,0.001000,0.001000,0.001000,0.000000,0.000000,372024.884000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,372024.884000,0.002625,0.005086,5286338.194000
embedding_layer,test1,799.000000,17374.000000,0.001000,372024.889000,0.000000,0.000000,372024.889000,0.002625,0.005086,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
attention_layer,test1,1820.000000,1820.000000,1820.000000,372024.876000,0.000000,0.000000,372024.876000,0.002625,0.005086,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,372024.913000,0.000000,0.000000,372024.913000,0.002625,0.005086,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
attention_layer,test1,1820.000000,1820.000000,1820.000000,372024.891000,0.000000,0.000000,372024.891000,0.002625,0.005086,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
mlp_layer,test1,2478.000000,2478.000000,2478.000000,372024.869000,0.000000,0.000000,372024.869000,0.002625,0.005086,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
cross_entropy1,test1,0.000000,0.000000,0.000000,372022.184000,0.000000,0.000000,372022.184000,0.000010,0.000020,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
cross_entropy2,test1,0.000000,0.000000,0.000000,372022.151000,0.000000,0.000000,372022.151000,0.000010,0.000020,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
cross_entropy3,test1,0.000000,0.000000,0.000000,372022.151000,0.000000,0.000000,372022.151000,0.000010,0.000020,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
optimizer1,test1,0.000000,0.000000,0.000000,372022.122000,0.000000,0.000000,372022.122000,0.000010,0.000020,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
optimizer2,test1,0.000000,0.000000,0.000000,372022.184000,0.000000,0.000000,372022.184000,0.000010,0.000020,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
optimizer3,test1,0.000000,0.000000,0.000000,372022.151000,0.000000,0.000000,372022.151000,0.000010,0.000020,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
optimizer4,test1,0.000000,0.000000,0.000000,372022.151000,0.000000,0.000000,372022.151000,0.000010,0.000020,0.000000,-nan,0.000000,0.000000,-nan,0.000000,5286338.194000
SUM,test1,9395.005000,25970.005000,42617.005000,4464279.532000,0.000000,744076.596000,4464279.532000,NONE,NONE,0.000000,NONE,NONE,744076.596000,NONE,NONE
total exposed comm,5208356.179000,total comp,77982.015000,total time,5286338.194000
